Complex ID,Borough,GTFS Latitude,GTFS Longitude
1,Q,40.775036,-73.912034
2,Q,40.770258,-73.917843
3,Q,40.766779,-73.921479
4,Q,40.76182,-73.925508
5,Q,40.756804,-73.929575
6,Q,40.752882,-73.932755
8,M,40.764811,-73.973347
9,M,40.764664,-73.980658
10,M,40.759901,-73.984139
13,M,40.745494,-73.988691
14,M,40.741303,-73.989344
16,M,40.730328,-73.992629
17,M,40.724329,-73.997702
20,M,40.713282,-74.006978
22,M,40.70722,-74.013342
26,Bk,40.690635,-73.981824
28,Bk,40.677316,-73.98311
30,Bk,40.665414,-73.992872
31,Bk,40.660397,-73.998091
32,Bk,40.655144,-74.003549
33,Bk,40.648939,-74.010006
34,Bk,40.645069,-74.014034
35,Bk,40.641362,-74.017881
36,Bk,40.634967,-74.023377
37,Bk,40.629742,-74.02551
38,Bk,40.622687,-74.028398
39,Bk,40.616622,-74.030876
41,Bk,40.67705,-73.972367
42,Bk,40.661614,-73.962246
43,Bk,40.655292,-73.961495
44,Bk,40.650527,-73.962982
45,Bk,40.644031,-73.964492
46,Bk,40.640927,-73.963891
47,Bk,40.635082,-73.962793
48,Bk,40.62927,-73.961639
49,Bk,40.625039,-73.960803
50,Bk,40.617618,-73.959399
51,Bk,40.60867,-73.957734
52,Bk,40.5993,-73.955929
53,Bk,40.595246,-73.955161
54,Bk,40.586896,-73.954155
55,Bk,40.577621,-73.961376
56,Bk,40.576312,-73.968501
57,Bk,40.576127,-73.975939
58,Bk,40.577422,-73.981233
59,Bk,40.646292,-73.994324
60,Bk,40.640914,-73.994304
61,Bk,40.63626,-73.994791
62,Bk,40.631435,-73.995476
64,Bk,40.619589,-73.998864
65,Bk,40.613501,-74.00061
66,Bk,40.607954,-74.001736
67,Bk,40.604556,-73.998168
68,Bk,40.601875,-73.993728
69,Bk,40.597704,-73.986829
70,Bk,40.588841,-73.983765
71,Bk,40.635064,-74.011719
72,Bk,40.631386,-74.005351
74,Bk,40.620671,-73.990414
75,Bk,40.61741,-73.985026
76,Bk,40.611815,-73.981848
77,Bk,40.603923,-73.980353
78,Bk,40.597473,-73.979137
79,Bk,40.592721,-73.97823
80,Q,40.700492,-73.828294
81,Q,40.697418,-73.836345
82,Q,40.695178,-73.84433
83,Q,40.693879,-73.851576
84,Q,40.692435,-73.86001
85,Q,40.691324,-73.867139
86,Bk,40.689941,-73.87255
87,Bk,40.683194,-73.873785
88,Bk,40.68141,-73.880039
89,Bk,40.679947,-73.884639
90,Bk,40.678024,-73.891688
91,Bk,40.676992,-73.898654
93,Bk,40.682893,-73.910456
94,Bk,40.68637,-73.916559
95,Bk,40.68963,-73.92227
96,Bk,40.693342,-73.928814
97,Bk,40.697207,-73.935657
98,Bk,40.70026,-73.941126
99,Bk,40.703869,-73.947408
100,Bk,40.70687,-73.953431
101,Bk,40.708359,-73.957757
103,M,40.72028,-73.993915
107,M,40.706476,-74.011056
108,Q,40.711396,-73.889601
109,Q,40.706186,-73.895877
110,Q,40.704423,-73.903077
111,Q,40.702762,-73.90774
113,Bk,40.698664,-73.919711
114,Bk,40.697857,-73.927397
118,M,40.732849,-73.986122
119,M,40.730953,-73.981628
120,Bk,40.717304,-73.956872
122,Bk,40.714565,-73.944053
123,Bk,40.711926,-73.94067
124,Bk,40.707739,-73.93985
125,Bk,40.706152,-73.933147
126,Bk,40.706607,-73.922913
127,Bk,40.703811,-73.918425
129,Q,40.695602,-73.904084
130,Bk,40.688764,-73.904046
131,Bk,40.682829,-73.905249
133,Bk,40.675345,-73.903097
134,Bk,40.669367,-73.901975
135,Bk,40.664038,-73.900571
136,Bk,40.658733,-73.899232
137,Bk,40.650573,-73.899485
138,Bk,40.646654,-73.90185
141,Bk,40.674772,-73.957624
143,M,40.868072,-73.919899
144,M,40.865491,-73.927271
145,M,40.859022,-73.93418
146,M,40.851695,-73.937969
147,M,40.847391,-73.939704
149,M,40.836013,-73.939892
150,M,40.830518,-73.941514
151,M,40.824783,-73.944216
152,M,40.817894,-73.947649
153,M,40.811109,-73.952343
154,M,40.805085,-73.954882
155,M,40.800603,-73.958161
156,M,40.796092,-73.961454
157,M,40.791642,-73.964696
158,M,40.785868,-73.968916
159,M,40.781433,-73.972143
160,M,40.775594,-73.97641
162,M,40.762456,-73.985984
164,M,40.752287,-73.993391
165,M,40.745906,-73.998041
167,M,40.732338,-74.000495
168,M,40.726227,-74.003739
169,M,40.720824,-74.005229
173,Bk,40.699337,-73.990531
175,Bk,40.688484,-73.985001
176,Bk,40.686113,-73.973946
177,Bk,40.683263,-73.965838
179,Bk,40.680438,-73.950426
180,Bk,40.679921,-73.940858
181,Bk,40.679364,-73.930729
182,Bk,40.678822,-73.920786
183,Bk,40.67834,-73.911946
185,Bk,40.674542,-73.896548
186,Bk,40.67271,-73.890358
187,Bk,40.67413,-73.88075
188,Bk,40.675377,-73.872106
189,Bk,40.677044,-73.86505
190,Q,40.679371,-73.858992
191,Q,40.679843,-73.85147
192,Q,40.680429,-73.843853
193,Q,40.681711,-73.837683
194,Q,40.684331,-73.832163
195,Q,40.685951,-73.825798
196,Q,40.672097,-73.835919
197,Q,40.668234,-73.834058
198,Q,40.660476,-73.830301
199,Q,40.608382,-73.815925
200,Q,40.588034,-73.813641
201,Q,40.585307,-73.820558
202,Q,40.583209,-73.827559
203,Q,40.580903,-73.835592
204,Q,40.590927,-73.796924
205,Q,40.592374,-73.788522
206,Q,40.592943,-73.776013
207,Q,40.595398,-73.768175
208,Q,40.600066,-73.761353
209,Q,40.603995,-73.755405
210,Bx,40.874811,-73.878855
211,Bx,40.873244,-73.887138
212,Bx,40.866978,-73.893509
213,Bx,40.861296,-73.897749
214,Bx,40.856093,-73.900741
215,Bx,40.85041,-73.905227
216,Bx,40.8459,-73.910136
217,Bx,40.839306,-73.9134
218,Bx,40.833771,-73.91844
220,M,40.830135,-73.938209
221,Q,40.754203,-73.942836
222,M,40.759145,-73.95326
223,M,40.764629,-73.966113
224,M,40.763972,-73.97745
225,M,40.758663,-73.981329
228,M,40.742878,-73.992821
231,M,40.718267,-73.993753
232,M,40.723402,-73.989938
234,M,40.713715,-73.990173
235,Bk,40.701397,-73.986751
236,Bk,40.686145,-73.990862
237,Bk,40.680303,-73.995048
238,Bk,40.67358,-73.995959
240,Bk,40.666271,-73.980305
241,Bk,40.660365,-73.979493
242,Bk,40.650782,-73.975776
243,Bk,40.644041,-73.979678
244,Bk,40.636119,-73.978172
245,Bk,40.629755,-73.976971
246,Bk,40.625322,-73.976127
247,Bk,40.620769,-73.975264
248,Bk,40.61514,-73.974197
249,Bk,40.608944,-73.973022
250,Bk,40.603217,-73.972361
251,Bk,40.596063,-73.973357
252,Bk,40.58962,-73.97425
253,Bk,40.581011,-73.974574
254,Q,40.712646,-73.783817
255,Q,40.71047,-73.793604
256,Q,40.707564,-73.803326
257,Q,40.70546,-73.810708
258,Q,40.709179,-73.820574
259,Q,40.714441,-73.831008
260,Q,40.718331,-73.837324
261,Q,40.721691,-73.844521
262,Q,40.726523,-73.852719
263,Q,40.729846,-73.861604
264,Q,40.733106,-73.869229
265,Q,40.737015,-73.877223
266,Q,40.742454,-73.882017
268,Q,40.749669,-73.898453
269,Q,40.752885,-73.906006
270,Q,40.756312,-73.913333
271,Q,40.756879,-73.92074
272,Q,40.752039,-73.928781
273,Q,40.748973,-73.937243
276,M,40.760167,-73.975224
277,M,40.762862,-73.981637
278,Q,40.702147,-73.801109
279,Q,40.700486,-73.807969
280,Q,40.702566,-73.816859
282,Q,40.744065,-73.949724
283,Bk,40.731352,-73.954449
284,Bk,40.724635,-73.951277
286,Bk,40.706092,-73.950308
287,Bk,40.700377,-73.950234
288,Bk,40.694568,-73.949046
289,Bk,40.689627,-73.953522
290,Bk,40.688873,-73.96007
291,Bk,40.688089,-73.966839
292,Bk,40.687119,-73.975375
293,Bx,40.889248,-73.898583
294,Bx,40.884667,-73.90087
295,Bx,40.878856,-73.904834
296,M,40.874561,-73.909831
297,M,40.869444,-73.915279
298,M,40.864621,-73.918822
299,M,40.860531,-73.925536
300,M,40.855225,-73.929412
301,M,40.849505,-73.933596
303,M,40.834041,-73.94489
304,M,40.826551,-73.95036
305,M,40.822008,-73.953676
306,M,40.815581,-73.958372
307,M,40.807722,-73.96411
308,M,40.803967,-73.966847
309,M,40.799446,-73.968379
310,M,40.793919,-73.972323
311,M,40.788644,-73.976218
312,M,40.783934,-73.979917
313,M,40.778453,-73.98197
314,M,40.77344,-73.982209
316,M,40.761728,-73.983849
318,M,40.750373,-73.991057
319,M,40.747215,-73.993365
320,M,40.744081,-73.995657
321,M,40.74104,-73.997871
323,M,40.733422,-74.002906
324,M,40.728251,-74.005367
325,M,40.722854,-74.006277
326,M,40.719318,-74.006886
327,M,40.715478,-74.009266
328,M,40.711835,-74.012188
329,M,40.707513,-74.013783
333,M,40.706821,-74.0091
334,Bk,40.697466,-73.993086
336,Bk,40.690545,-73.985065
337,Bk,40.688246,-73.980492
339,Bk,40.680829,-73.975098
340,Bk,40.675235,-73.971046
341,Bk,40.671987,-73.964375
343,Bk,40.669847,-73.950466
344,Bk,40.669399,-73.942161
345,Bk,40.668897,-73.932942
346,Bk,40.664717,-73.92261
347,Bk,40.661453,-73.916327
348,Bk,40.662549,-73.908946
349,Bk,40.663515,-73.902447
350,Bk,40.664635,-73.894895
351,Bk,40.665449,-73.889395
352,Bk,40.666235,-73.884079
353,Bk,40.667883,-73.950683
354,Bk,40.662742,-73.95085
355,Bk,40.656652,-73.9502
356,Bk,40.650843,-73.949575
357,Bk,40.645098,-73.948959
358,Bk,40.639967,-73.948411
359,Bk,40.632836,-73.947642
360,Bx,40.852462,-73.828121
361,Bx,40.84681,-73.832569
362,Bx,40.843863,-73.836322
363,Bx,40.839892,-73.842952
364,Bx,40.836488,-73.847036
365,Bx,40.834255,-73.851222
366,Bx,40.833226,-73.860816
367,Bx,40.831509,-73.867618
368,Bx,40.829521,-73.874516
369,Bx,40.828584,-73.879159
370,Bx,40.826525,-73.886283
371,Bx,40.820948,-73.890549
372,Bx,40.816104,-73.896435
373,Bx,40.812118,-73.904098
374,Bx,40.808719,-73.907657
375,Bx,40.805368,-73.914042
376,Bx,40.807566,-73.91924
377,Bx,40.810476,-73.926138
378,Bx,40.886037,-73.878751
379,Bx,40.87975,-73.884655
380,Bx,40.873412,-73.890064
381,Bx,40.86776,-73.897174
382,Bx,40.862803,-73.901034
383,Bx,40.858407,-73.903879
384,Bx,40.853453,-73.907684
385,Bx,40.84848,-73.911794
386,Bx,40.844434,-73.914685
387,Bx,40.840075,-73.917791
388,Bx,40.835537,-73.9214
391,Bx,40.813224,-73.929849
392,M,40.804138,-73.937594
393,M,40.798629,-73.941617
394,M,40.79502,-73.94425
395,M,40.7906,-73.947478
396,M,40.785672,-73.95107
397,M,40.779492,-73.955589
398,M,40.77362,-73.959874
399,M,40.768141,-73.96387
403,M,40.746081,-73.982076
404,M,40.74307,-73.984264
405,M,40.739864,-73.986599
407,M,40.730054,-73.99107
409,M,40.722301,-73.997141
413,M,40.707557,-74.011862
414,M,40.704817,-74.014065
416,Bx,40.903125,-73.85062
417,Bx,40.898379,-73.854376
418,Bx,40.893193,-73.857473
419,Bx,40.888022,-73.860341
420,Bx,40.883895,-73.862633
421,Bx,40.87785,-73.866256
422,Bx,40.871356,-73.867164
423,Bx,40.865462,-73.867352
424,Bx,40.857192,-73.867615
425,Bx,40.848828,-73.868457
426,Bx,40.841894,-73.873488
427,Bx,40.840295,-73.880049
428,Bx,40.837288,-73.887734
429,Bx,40.829993,-73.891865
430,Bx,40.824073,-73.893064
431,Bx,40.822181,-73.896736
432,Bx,40.819585,-73.90177
433,Bx,40.81649,-73.907807
434,Bx,40.816109,-73.917757
436,M,40.82388,-73.93647
437,M,40.820421,-73.936245
438,M,40.814229,-73.94077
439,M,40.807754,-73.945495
440,M,40.802098,-73.949625
441,M,40.799075,-73.951822
442,Bx,40.8883,-73.830834
443,Bx,40.878663,-73.838591
444,Bx,40.869526,-73.846384
445,Bx,40.858985,-73.855359
446,Bx,40.854364,-73.860495
447,Q,40.7596,-73.83003
448,Q,40.754622,-73.845625
449,Q,40.75173,-73.855334
450,Q,40.749865,-73.8627
451,Q,40.749145,-73.869527
452,Q,40.748408,-73.876613
453,Q,40.747659,-73.883697
455,Q,40.746325,-73.896403
456,Q,40.74563,-73.902984
457,Q,40.744149,-73.912549
458,Q,40.743132,-73.918435
459,Q,40.743781,-73.924016
460,Q,40.744587,-73.930997
461,Q,40.750582,-73.940202
463,Q,40.742216,-73.948916
464,Q,40.742626,-73.953581
471,M,40.755882,-74.00191
475,M,40.784318,-73.947152
476,M,40.777891,-73.951787
477,M,40.768799,-73.958424
501,SI,40.643748,-74.073643
502,SI,40.636949,-74.074835
503,SI,40.627915,-74.075162
