       area  unit       scp station    lines  div        desc        i        o                  dt
565200  A011  R080  01-00-03  57 ST-7 AV  NQRW  BMT     REGULAR         298         146 2018-12-30 23:00:00
565201  A011  R080  01-00-03  57 ST-7 AV  NQRW  BMT     REGULAR         387         172 2018-12-31 03:00:00



        area  unit       scp     station lines  div        desc        i        o                  dt
580344  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  1092448   858203 2018-12-30 11:00:00
580345  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  1092452   858227 2018-12-30 11:22:18
580346  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  1092456   858227 2018-12-30 11:23:53
580347  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  1092974   858812 2018-12-30 15:00:00
580348  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT  RECOVR AUD  2536577  2147872 2018-12-30 15:00:00
580349  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  1093007   858832 2018-12-30 15:09:14
580350  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  2536636  2147890 2018-12-30 19:00:00
580351  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  2536906  2147920 2018-12-30 23:00:00
580352  A011  R080  01-00-04  57 ST-7 AV  NQRW  BMT     REGULAR  2537031  2147924 2018-12-31 03:00:00



         area  unit       scp         station     lines  div        desc        i        o                  dt
1823695  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3403086  8610291 2019-03-12 05:00:00
1823696  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3403177  8611370 2019-03-12 09:00:00
1823697  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3403495  8612978 2019-03-12 13:00:00
1823698  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3404311  8613843 2019-03-12 17:00:00
1823699  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  3404310  8613843 2019-03-12 17:00:00
1823700  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3405702  8614647 2019-03-12 21:00:00
1823701  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3406025  8614847 2019-03-13 01:00:00
1823702  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3406047  8614874 2019-03-13 05:00:00
1823703  A034  R170  03-03-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  3406147  8616071 2019-03-13 09:00:00



         area  unit       scp         station     lines  div        desc      i      o                  dt
1872478  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  24486  18926 2019-08-09 09:00:00
1872479  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  24832  19507 2019-08-09 17:00:00
1872480  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  25372  19870 2019-08-09 21:00:00
1872481  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  25573  20003 2019-08-10 01:00:00
1872482  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  24728  30019 2019-08-10 01:00:00
1872483  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  25597  20023 2019-08-10 05:00:00
1872484  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  24745  30042 2019-08-10 05:00:00
1872485  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  25633  20172 2019-08-10 09:00:00
1872486  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  24758  30136 2019-08-10 09:00:00
1872487  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  25815  20527 2019-08-10 13:00:00
1872488  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  24966  30384 2019-08-10 13:00:00
1872489  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26160  20964 2019-08-10 17:00:00
1872490  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25342  30689 2019-08-10 17:00:00
1872491  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26450  21303 2019-08-10 21:00:00
1872492  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25603  30896 2019-08-10 21:00:00
1872493  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26595  21402 2019-08-11 01:00:00
1872494  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25723  30974 2019-08-11 01:00:00
1872495  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26619  21423 2019-08-11 05:00:00
1872496  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25742  30989 2019-08-11 05:00:00
1872497  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26639  21497 2019-08-11 09:00:00
