       area  unit       scp station    lines  div        desc        i        o                  dt
14278097  JFK03  R536  00-00-03  JFK JAMAICA CT1     E  IND     REGULAR  185598  77864 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14293561  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND  RECOVR AUD  23151  13370 2019-04-06 14:10:24
14293562  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23328  13522 2019-04-06 17:00:00
14293563  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23536  13701 2019-04-06 21:00:00
14293564  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23585  13861 2019-04-07 01:00:00
14293565  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND  RECOVR AUD  23580  13837 2019-04-07 01:00:00
14293566  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23643  13889 2019-04-07 05:00:00
14293567  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23789  13932 2019-04-07 09:00:00
14293568  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  23974  14020 2019-04-07 13:00:00
14293569  JFK03  R536  00-00-04  JFK JAMAICA CT1     E  IND     REGULAR  24267  14248 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14299969  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  87155  74876 2015-05-08 13:00:00
14299970  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  87300  74966 2015-05-08 14:37:48
14299971  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  87536  75197 2015-05-08 17:00:00
14299972  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  87975  75462 2015-05-08 21:00:00
14299973  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      1 2015-05-08 21:00:00
14299974  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  88057  75637 2015-05-09 01:00:00
14299975  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  88102  75665 2015-05-09 05:00:00
14299976  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  88280  75741 2015-05-09 09:00:00
14299977  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  88517  75882 2015-05-09 13:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14300002  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  93870  79303 2015-05-13 13:00:00
14300003  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  94282  79616 2015-05-13 17:00:00
14300004  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      0 2015-05-13 17:00:01
14300005  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  94566  79906 2015-05-13 21:00:00
14300006  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      0 2015-05-13 21:00:00
14300007  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  94642  80097 2015-05-14 01:00:00
14300008  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      0 2015-05-14 01:00:00
14300009  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  94699  80123 2015-05-14 05:00:00
14300010  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      0 2015-05-14 05:00:00
14300011  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  94885  80229 2015-05-14 09:00:00
14300012  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      0 2015-05-14 09:00:00
14300013  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  95151  80396 2015-05-14 13:00:00
14300014  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  95572  80742 2015-05-14 17:00:00
14300015  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  95922  81038 2015-05-14 21:00:00
14300016  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  95995  81256 2015-05-15 01:00:00



           area  unit       scp          station lines  div        desc       i      o                  dt
14300107  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  112900  94960 2015-05-29 17:00:00
14300108  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  112966  94978 2015-05-29 17:30:33
14300109  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113249  95157 2015-05-29 21:00:00
14300110  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113308  95344 2015-05-30 01:00:00
14300111  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD       0      1 2015-05-30 01:00:00
14300112  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113343  95376 2015-05-30 05:00:00
14300113  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD       0      1 2015-05-30 05:00:00
14300114  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113477  95457 2015-05-30 09:00:00
14300115  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113699  95604 2015-05-30 13:00:00
14300116  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  113976  95853 2015-05-30 17:00:00
14300117  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  114178  96077 2015-05-30 21:00:00



           area  unit       scp          station lines  div        desc       i       o                  dt
14300398  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  154917  133449 2015-07-15 09:00:00
14300399  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  155181  133639 2015-07-15 13:00:00
14300400  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  155510  133863 2015-07-15 17:00:00
14300401  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  155735  134122 2015-07-15 21:00:00
14300402  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD       0       2 2015-07-15 21:00:00
14300403  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  155786  134304 2015-07-16 01:00:00
14300404  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  155846  134342 2015-07-16 05:00:00
14300405  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  155948  134370 2015-07-16 06:54:12
14300406  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  156049  134449 2015-07-16 09:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14300960  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  13360  11460 2015-10-13 09:00:00
14300961  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  13567  11597 2015-10-13 13:00:00
14300962  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  13881  11886 2015-10-13 17:00:00
14300963  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  14103  12122 2015-10-13 21:00:00
14300964  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0     38 2015-10-13 21:00:00
14300965  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  14163  12336 2015-10-14 01:00:00
14300966  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0     38 2015-10-14 01:00:00
14300967  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  14264  12362 2015-10-14 05:00:00
14300968  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  14539  12528 2015-10-14 09:00:00
14300969  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  14778  12703 2015-10-14 13:00:00
14300970  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  15083  12926 2015-10-14 17:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14300980  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  16788  14424 2015-10-16 09:00:00
14300981  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  16872  14511 2015-10-16 13:00:00
14300982  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  16872  14511 2015-10-16 14:24:49
14300983  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  16991  14594 2015-10-17 01:00:00
14300984  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      2 2015-10-17 01:00:00
14300985  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17028  14611 2015-10-17 05:00:00
14300986  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      2 2015-10-17 05:00:00
14300987  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17119  14715 2015-10-17 09:00:00
14300988  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD      0      2 2015-10-17 09:00:00
14300989  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17210  14812 2015-10-17 13:00:00
14300990  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17481  15040 2015-10-17 17:00:00
14300991  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17628  15226 2015-10-17 21:00:00
14300992  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  17666  15362 2015-10-18 01:00:00



           area  unit       scp         station lines  div        desc      i      o                  dt
14301438  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  78805  66906 2015-12-26 12:00:00
14301439  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79140  67163 2015-12-26 16:00:00
14301440  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79393  67418 2015-12-26 20:00:00
14301441  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79486  67665 2015-12-27 00:00:00
14301442  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      6 2015-12-27 00:00:00
14301443  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79506  67720 2015-12-27 04:00:00
14301444  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79609  67781 2015-12-27 08:00:00
14301445  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      6 2015-12-27 08:00:00
14301446  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  79755  67968 2015-12-27 12:00:00
14301447  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      6 2015-12-27 12:00:00
14301448  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  80094  68223 2015-12-27 16:00:00
14301449  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  80344  68507 2015-12-27 20:00:00
14301450  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  80425  68716 2015-12-28 00:00:00
14301451  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  80449  68791 2015-12-28 04:00:00



           area  unit       scp         station lines  div        desc      i      o                  dt
14301476  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  84796  73306 2015-12-31 20:00:00
14301477  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  84882  73487 2016-01-01 00:00:00
14301478  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  84929  73516 2016-01-01 04:00:00
14301479  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85060  73561 2016-01-01 08:00:00
14301480  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-01 08:00:00
14301481  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85268  73677 2016-01-01 12:00:00
14301482  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-01 12:00:00
14301483  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD  85343  73706 2016-01-01 13:00:06
14301484  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85629  73914 2016-01-01 16:00:00
14301485  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-01 16:00:00
14301486  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85899  74130 2016-01-01 20:00:00
14301487  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-01 20:00:00
14301488  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85968  74296 2016-01-02 00:00:00
14301489  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-02 00:00:00
14301490  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  85999  74343 2016-01-02 04:00:00
14301491  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  86132  74397 2016-01-02 08:00:00
14301492  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-02 08:00:00
14301493  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  86329  74517 2016-01-02 12:00:00
14301494  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD      0      3 2016-01-02 12:00:01
14301495  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND  RECOVR AUD  86599  74609 2016-01-02 14:35:06
14301496  JFK03  R536  00-00-05  SUTPHIN-ARCHER     E  IND     REGULAR  86761  74703 2016-01-02 16:00:00



           area  unit       scp          station lines  div        desc       i       o                  dt
14302843  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  238225  202024 2016-07-25 09:00:00
14302844  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  238445  202176 2016-07-25 13:00:00
14302845  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  238837  202439 2016-07-25 17:00:00
14302846  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  239110  202593 2016-07-25 21:00:00
14302847  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD       0      17 2016-07-25 21:00:00
14302848  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  239185  202808 2016-07-26 01:00:00
14302849  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  239268  202908 2016-07-26 05:00:00
14302850  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  239503  202999 2016-07-26 09:00:00
14302851  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  239800  203108 2016-07-26 13:00:00



           area  unit       scp          station lines  div        desc       i       o                  dt
14308982  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  159661  121777 2019-04-06 14:10:26
14308983  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  159805  121957 2019-04-06 17:00:00
14308984  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  159989  122224 2019-04-06 21:00:00
14308985  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  160031  122417 2019-04-07 01:00:00
14308986  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND  RECOVR AUD  160029  122393 2019-04-07 01:00:00
14308987  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  160094  122438 2019-04-07 05:00:00
14308988  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  160251  122494 2019-04-07 09:00:00
14308989  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  160442  122633 2019-04-07 13:00:00
14308990  JFK03  R536  00-00-05  JFK JAMAICA CT1     E  IND     REGULAR  160707  122899 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc      i      o                  dt
14324180  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND  RECOVR AUD  29531  36112 2019-04-06 14:10:28
14324181  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  29642  36324 2019-04-06 17:00:00
14324182  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  29810  36405 2019-04-06 21:00:00
14324183  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  29840  36572 2019-04-07 01:00:00
14324184  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND  RECOVR AUD  29840  36551 2019-04-07 01:00:00
14324185  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  29888  36614 2019-04-07 05:00:00
14324186  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  29983  36701 2019-04-07 09:00:00
14324187  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  30137  36851 2019-04-07 13:00:00
14324188  JFK03  R536  00-03-00  JFK JAMAICA CT1     E  IND     REGULAR  30353  37103 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc       i       o                  dt
14339520  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND  RECOVR AUD  319784  572725 2019-04-06 14:10:28
14339521  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319814  572933 2019-04-06 17:00:00
14339522  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319846  573242 2019-04-06 21:00:00
14339523  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319860  573415 2019-04-07 01:00:00
14339524  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND  RECOVR AUD  319859  573384 2019-04-07 01:00:00
14339525  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319880  573461 2019-04-07 05:00:00
14339526  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319901  573602 2019-04-07 09:00:00
14339527  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319936  573790 2019-04-07 13:00:00
14339528  JFK03  R536  00-03-01  JFK JAMAICA CT1     E  IND     REGULAR  319961  574113 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc       i      o                  dt
14353988  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  117310  34600 2018-12-01 00:00:00
14353989  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  117372  34607 2018-12-01 04:00:00
14353990  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND  RECOVR AUD  117482  34631 2018-12-01 08:00:00
14353991  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  117945  34733 2018-12-01 12:00:00
14353992  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND  RECOVR AUD  117702  34661 2018-12-01 12:00:00
14353993  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND  RECOVR AUD  117945  34733 2018-12-01 16:00:00
14353994  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  118223  34793 2018-12-01 20:00:00
14353995  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  118464  34809 2018-12-02 00:00:00
14353996  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  118544  34822 2018-12-02 04:00:00



           area  unit       scp          station lines  div        desc      i     o                  dt
14354751  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR  13673  3560 2019-04-06 09:00:00
14354752  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR    300    77 2019-04-06 17:00:00
14354753  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR    585   115 2019-04-06 21:00:00
14354754  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR    827   122 2019-04-07 01:00:00
14354755  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND  RECOVR AUD    780   120 2019-04-07 01:00:00
14354756  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR    880   151 2019-04-07 05:00:00
14354757  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR   1008   196 2019-04-07 09:00:00
14354758  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR   1188   248 2019-04-07 13:00:00
14354759  JFK03  R536  00-03-02  JFK JAMAICA CT1     E  IND     REGULAR   1546   349 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc       i      o                  dt
14370157  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND  RECOVR AUD  128139  26622 2019-04-06 14:10:30
14370158  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  128318  26658 2019-04-06 17:00:00
14370159  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  128572  26668 2019-04-06 21:00:00
14370160  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  128735  26671 2019-04-07 01:00:00
14370161  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND  RECOVR AUD  128717  26670 2019-04-07 01:00:00
14370162  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  128763  26683 2019-04-07 05:00:00
14370163  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  128887  26701 2019-04-07 09:00:00
14370164  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  129052  26734 2019-04-07 13:00:00
14370165  JFK03  R536  00-03-03  JFK JAMAICA CT1     E  IND     REGULAR  129401  26798 2019-04-07 17:00:00



           area  unit       scp          station lines  div        desc      i       o                  dt
14385580  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND  RECOVR AUD  78856  443756 2019-04-06 14:10:32
14385581  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78873  443955 2019-04-06 17:00:00
14385582  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78882  444181 2019-04-06 21:00:00
14385583  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78883  444290 2019-04-07 01:00:00
14385584  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND  RECOVR AUD  78883  444268 2019-04-07 01:00:00
14385585  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78887  444318 2019-04-07 05:00:00
14385586  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78892  444419 2019-04-07 09:00:00
14385587  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78903  444562 2019-04-07 13:00:00
14385588  JFK03  R536  00-03-04  JFK JAMAICA CT1     E  IND     REGULAR  78927  444849 2019-04-07 17:00:00



          area  unit       scp        station lines  div        desc        i        o                  dt
14454700  K019  R413  00-00-00  KNICKERBOCKER     M  BMT  RECOVR AUD  1319028  4728137 2019-01-28 00:00:00
14454701  K019  R413  00-00-00  KNICKERBOCKER     M  BMT  RECOVR AUD  1319028  4728137 2019-01-28 04:00:00
14454702  K019  R413  00-00-00  KNICKERBOCKER     M  BMT  RECOVR AUD  1319112  4728255 2019-01-28 08:00:00
14454703  K019  R413  00-00-00  KNICKERBOCKER     M  BMT     REGULAR  3844615  2254856 2019-01-28 12:00:00
14454704  K019  R413  00-00-00  KNICKERBOCKER     M  BMT  RECOVR AUD  1319272  4728534 2019-01-28 12:00:00
14454705  K019  R413  00-00-00  KNICKERBOCKER     M  BMT     REGULAR  3844868  2254965 2019-01-28 16:00:00
14454706  K019  R413  00-00-00  KNICKERBOCKER     M  BMT     REGULAR  3845206  2255201 2019-01-28 20:00:00
14454707  K019  R413  00-00-00  KNICKERBOCKER     M  BMT     REGULAR  3845296  2255348 2019-01-29 00:00:00
14454708  K019  R413  00-00-00  KNICKERBOCKER     M  BMT     REGULAR  3845326  2255416 2019-01-29 04:00:00



          area  unit       scp        station lines  div        desc        i        o                  dt
14468346  K019  R413  00-00-01  KNICKERBOCKER     M  BMT  RECOVR AUD  2010630  2036856 2019-01-28 00:00:00
14468347  K019  R413  00-00-01  KNICKERBOCKER     M  BMT  RECOVR AUD  2010630  2036856 2019-01-28 04:00:00
14468348  K019  R413  00-00-01  KNICKERBOCKER     M  BMT  RECOVR AUD  2010741  2036926 2019-01-28 08:00:00
14468349  K019  R413  00-00-01  KNICKERBOCKER     M  BMT     REGULAR  1100657   360785 2019-01-28 12:00:00
14468350  K019  R413  00-00-01  KNICKERBOCKER     M  BMT  RECOVR AUD  2010954  2037024 2019-01-28 12:00:00
14468351  K019  R413  00-00-01  KNICKERBOCKER     M  BMT     REGULAR  1100826   360838 2019-01-28 16:00:00
14468352  K019  R413  00-00-01  KNICKERBOCKER     M  BMT     REGULAR  1101041   361041 2019-01-28 20:00:00
14468353  K019  R413  00-00-01  KNICKERBOCKER     M  BMT     REGULAR  1101097   361121 2019-01-29 00:00:00
14468354  K019  R413  00-00-01  KNICKERBOCKER     M  BMT     REGULAR  1101111   361142 2019-01-29 04:00:00



          area  unit       scp        station lines  div        desc       i       o                  dt
14890250  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  106050  100376 2014-11-19 08:00:00
14890251  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  106365  100467 2014-11-19 12:00:00
14890252  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  106722  101653 2014-11-21 00:00:00
14890253  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  106726  101679 2014-11-21 04:00:00
14890254  N001  R173  01-06-02  INWOOD-207 ST     A  IND  RECOVR AUD   41070  101634 2014-11-21 04:00:00
14890255  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  106892  101755 2014-11-21 08:00:00
14890256  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  107084  101829 2014-11-21 12:00:00
14890257  N001  R173  01-06-02  INWOOD-207 ST     A  IND  RECOVR AUD  107247  101829 2014-11-21 12:00:00
14890258  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  107217  101963 2014-11-21 16:00:00
14890259  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  107335  102239 2014-11-21 20:00:00
14890260  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  107374  102328 2014-11-22 00:00:00
14890261  N001  R173  01-06-02  INWOOD-207 ST     A  IND     REGULAR  107387  102368 2014-11-22 04:00:00



           area  unit       scp        station lines  div        desc        i        o                  dt
14925387  N002A  R173  00-00-00  INWOOD-207 ST     A  IND     REGULAR  5138120  3022574 2017-03-22 17:00:00
14925388  N002A  R173  00-00-00  INWOOD-207 ST     A  IND     REGULAR  5138355  3023105 2017-03-22 21:00:00
