,complex,area,scp,df_len,dt_min,dt_max,dt_avg_step,tdiff_min,tdiff_med,tdiff_mean,tdiff_max,dt_offset,idiff_min,idiff_med,idiff_mean,idiff_max,idiff_10lgst,idiff_neg_ct,idiff_zero_ct,idiff_pos_ct,idiffpt_min,idiffpt_med,idiffpt_mean,idiffpt_max,inegset_ct,inegset_avg_len,odiff_min,odiff_med,odiff_mean,odiff_max,odiff_10lgst,odiff_neg_ct,odiff_zero_ct,odiff_pos_ct,odiffpt_min,odiffpt_med,odiffpt_mean,odiffpt_max,onegset_ct,onegset_avg_len
255,629,N409,00-03-02,5128,2019-02-26 12:00:00,2021-08-06 21:00:00,0 days 04:10:35.335413416,0 days 00:00:39,0 days 04:00:00,0 days 04:10:38.143525741,57 days 15:00:00,1,0.0,41.0,53.920046801872076,1662.0,"[1662.0, 258.0, 255.0, 245.0, 236.0, 236.0, 229.0, 221.0, 219.0, 218.0]",0,261,4867,0.0,42.0,54.72639814454056,331.95548489666135,0.0,0,0.0,26.0,30.786076443057723,7967.0,"[7967.0, 142.0, 133.0, 129.0, 129.0, 128.0, 127.0, 127.0, 126.0, 123.0]",0,182,4946,0.0,26.0,29.66391821735469,360.0,0.0,0
256,35,C022,01-05-00,8799,2014-10-11 00:00:00,2019-05-10 08:00:00,0 days 04:33:41.138765768,0 days 00:00:09,0 days 04:00:00,0 days 04:33:42.775315376,214 days 00:00:00,0,0.0,0.0,29.857256506421184,261623.0,"[261623.0, 313.0, 18.0, 15.0, 9.0, 7.0, 7.0, 6.0, 6.0, 5.0]",0,8261,538,0.0,0.0,0.1472078128791162,313.0,0.0,0,0.0,0.0,7.448119104443687,65536.0,"[65536.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,8798,1,0.0,0.0,0.005800715813429663,51.0404984423676,0.0,0
257,209,N196,00-00-00,15011,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:59:02.442209046,0 days 00:00:07,0 days 04:00:00,0 days 03:59:03.401505562,7 days 04:00:00,0,-1030737.0,61.0,5.5498634334821135,416640.0,"[1030737.0, 416640.0, 273229.0, 115087.0, 63071.0, 19715.0, 3485.0, 446.0, 434.0, 421.0]",5,374,14632,-1030737.0,62.0,9.65522896814408,416640.0,5.0,1.0,-1776076.0,117.0,11.551129171940577,793775.0,"[1776076.0, 793775.0, 539984.0, 200191.0, 97975.0, 34866.0, 5861.0, 665.0, 637.0, 636.0]",5,170,14836,-1776076.0,118.0,17.45752576709142,793775.0,5.0,1.0
258,261,N333B,02-03-01,15021,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:58:52.893948472,0 days 00:00:31,0 days 04:00:00,0 days 03:58:53.852606351,14 days 04:00:00,1,-2436.0,0.0,0.0,2436.0,"[2436.0, 2436.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,15019,1,-2436.0,0.0,0.0,2436.0,0.5,26692.0,-141.0,0.0,1116.9393515744623,16777198.0,"[16777198.0, 141.0, 121.0, 7.0, 7.0, 6.0, 6.0, 6.0, 5.0, 5.0]",1,14756,264,-141.0,0.0,186.17527162834074,2796199.6666666665,1.0,13346.0
259,614,N049,01-03-01,15088,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:57:49.247083775,0 days 00:00:33,0 days 04:00:00,0 days 03:57:50.201484623,0 days 23:46:12,0,0.0,145.0,33617.859822375394,504020441.0,"[504020441.0, 1754.0, 1238.0, 1230.0, 1165.0, 1068.0, 1059.0, 1034.0, 1028.0, 1013.0]",0,108,14980,0.0,150.0,33619.24246423448,504020441.0,0.0,0,0.0,108.0,30241.20691940615,453601080.0,"[453601080.0, 2010.0, 1134.0, 1050.0, 1048.0, 993.0, 985.0, 948.0, 940.0, 920.0]",0,131,14957,0.0,111.0,30245.396085417076,453601080.0,0.0,0
260,94,J016,00-00-01,15018,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:58:55.757091490,0 days 00:00:15,0 days 04:00:00,0 days 03:58:56.715940870,1 days 08:00:00,1,-3563384.0,161.0,8.977959781595418,384000.0,"[3563384.0, 384000.0, 2050.0, 1533.0, 1506.0, 1355.0, 1257.0, 1158.0, 1130.0, 1112.0]",2,240,14776,-3563384.0,166.0,13.240499863472774,384000.0,2.0,1.0,-1855451.0,77.0,6.809295512052204,194537.0,"[1855451.0, 194537.0, 1382.0, 785.0, 703.0, 688.0, 645.0, 592.0, 540.0, 530.0]",1,104,14913,-1855451.0,77.0,7.169643482662965,194537.0,1.0,2.0
261,380,R291,00-00-00,14893,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:00:56.080037601,0 days 00:01:11,0 days 04:00:00,0 days 04:00:57.046934801,14 days 04:00:00,0,-203977526.0,40.0,10.686631303296851,197947071.0,"[203977526.0, 197947071.0, 5253455.0, 7491.0, 545.0, 468.0, 445.0, 440.0, 420.0, 413.0]",1,380,14512,-22664169.555555556,40.0,17641.536535199328,279208328.18101674,1.0,1.0,-16967220.0,273.0,76.67313502987982,14908742.0,"[16967220.0, 14908742.0, 1361487.0, 28620.0, 1222.0, 1179.0, 1091.0, 1063.0, 1046.0, 1044.0]",2,76,14815,-23932605.348222155,275.0,-310.04466630542873,14908742.0,2.0,0.5
262,45,B017,00-00-00,14947,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:00:03.853616110,0 days 00:01:20,0 days 04:00:00,0 days 04:00:04.817020137,2 days 16:00:00,0,-13062483.0,134.0,346.969090787449,13062622.0,"[13062622.0, 13062483.0, 2579561.0, 2613.0, 1414.0, 1101.0, 1072.0, 1067.0, 920.0, 904.0]",1,153,14793,-17416644.0,135.0,2677.9737909269,52250488.0,1.0,1.0,-14599277.0,58.0,174.73533150464976,14599369.0,"[14599369.0, 14599277.0, 1357924.0, 1261.0, 698.0, 567.0, 564.0, 563.0, 511.0, 505.0]",1,151,14795,-19465702.666666668,58.0,2779.290083435964,58397476.0,1.0,1.0
263,609,R501,00-06-00,14818,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:02:09.248211634,0 days 00:00:00,0 days 04:00:00,0 days 04:02:10.220002699,14 days 08:00:00,0,-201267259.0,29.0,67.79578890538534,134078924.0,"[201267259.0, 134078924.0, 66975553.0, 1769616.0, 1515233.0, 31906.0, 31255.0, 8441.0, 6709.0, 2153.0]",7,1434,13377,-201267259.0,30.0,-13147.292212205872,3528392.736842105,7.0,1.0,-50543715.0,15.0,9.39674719935214,33557341.0,"[50543715.0, 33557341.0, 16722581.0, 701168.0, 606668.0, 17684.0, 17420.0, 3534.0, 1781.0, 883.0]",6,2006,12806,-50543715.0,16.0,-3323.158384426271,883087.9210526316,6.0,1.1666666666666667
264,215,N213,00-00-01,15279,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:54:50.869821323,0 days 00:00:24,0 days 04:00:00,0 days 03:54:51.812291380,7 days 04:00:00,1,-1684876.0,89.0,6.311735061195105,589884.0,"[1684876.0, 589884.0, 499454.0, 4522.0, 1895.0, 661.0, 628.0, 622.0, 622.0, 609.0]",2,282,14995,-1684876.0,96.0,16.24371019766799,589884.0,2.0,1.0,-1696716.0,98.0,10.946658812749526,584229.0,"[1696716.0, 584229.0, 487242.0, 6058.0, 1677.0, 709.0, 516.0, 497.0, 486.0, 470.0]",2,63,15214,-1696716.0,102.0,15.050102700263398,584229.0,2.0,1.0
