dt,N067_00-03-04,N067_00-03-04_ph,N067_00-03-05,N067_00-03-05_ph,N067_00-03-01,N067_00-03-01_ph,N067_00-03-00,N067_00-03-00_ph,N067_00-03-02,N067_00-03-02_ph,N067_00-03-03,N067_00-03-03_ph,N067_00-05-03,N067_00-05-03_ph,N067_00-05-02,N067_00-05-02_ph,N067_00-05-00,N067_00-05-00_ph,N067_00-05-01,N067_00-05-01_ph,N067_00-00-00,N067_00-00-00_ph,N067_00-00-01,N067_00-00-01_ph,N067_00-00-03,N067_00-00-03_ph,N067_00-00-02,N067_00-00-02_ph,N067_00-00-05,N067_00-00-05_ph,N067_00-00-04,N067_00-00-04_ph,N067_00-06-02,N067_00-06-02_ph,N067_00-06-03,N067_00-06-03_ph,N067_00-06-01,N067_00-06-01_ph,N067_00-06-00,N067_00-06-00_ph,N068_03-06-00,N068_03-06-00_ph,N068_03-00-02,N068_03-00-02_ph,N068_03-00-00,N068_03-00-00_ph,N068_03-00-01,N068_03-00-01_ph,N070_04-05-01,N070_04-05-01_ph,N070_04-05-00,N070_04-05-00_ph,N070_04-00-01,N070_04-00-01_ph,N070_04-00-00,N070_04-00-00_ph,N070_04-00-02,N070_04-00-02_ph,N070_04-00-03,N070_04-00-03_ph,N070_04-00-04,N070_04-00-04_ph,N072_05-00-01,N072_05-00-01_ph,N072_05-00-00,N072_05-00-00_ph,N072_05-00-02,N072_05-00-02_ph,N072_05-00-03,N072_05-00-03_ph,N072_05-03-00,N072_05-03-00_ph,N072_05-03-01,N072_05-03-01_ph,N072_05-03-03,N072_05-03-03_ph,N072_05-03-02,N072_05-03-02_ph,N072_05-03-06,N072_05-03-06_ph,N072_05-03-05,N072_05-03-05_ph,N072_05-03-04,N072_05-03-04_ph,N071_00-06-01,N071_00-06-01_ph,N071_00-06-00,N071_00-06-00_ph,N071_00-00-00,N071_00-00-00_ph,N071_00-00-01,N071_00-00-01_ph,N071_00-00-03,N071_00-00-03_ph,N071_00-00-02,N071_00-00-02_ph,N071_00-00-04,N071_00-00-04_ph,N071_00-05-00,N071_00-05-00_ph,N071_00-05-01,N071_00-05-01_ph,N071_00-03-04,N071_00-03-04_ph,N071_00-03-05,N071_00-03-05_ph,N071_00-03-01,N071_00-03-01_ph,N071_00-03-00,N071_00-03-00_ph,N071_00-03-02,N071_00-03-02_ph,N071_00-03-03,N071_00-03-03_ph,N069_01-06-00,N069_01-06-00_ph,N069_01-00-02,N069_01-00-02_ph,N069_01-00-00,N069_01-00-00_ph,N069_01-00-01,N069_01-00-01_ph,N073_02-00-07,N073_02-00-07_ph,N073_02-00-06,N073_02-00-06_ph,N073_02-00-04,N073_02-00-04_ph,N073_02-00-05,N073_02-00-05_ph,N073_02-00-01,N073_02-00-01_ph,N073_02-00-00,N073_02-00-00_ph,N073_02-00-02,N073_02-00-02_ph,N073_02-00-03,N073_02-00-03_ph,N073_02-00-08,N073_02-00-08_ph,R138_00-03-06,R138_00-03-06_ph,R138_00-03-07,R138_00-03-07_ph,R138_00-03-05,R138_00-03-05_ph,R138_00-03-04,R138_00-03-04_ph,R138_00-03-00,R138_00-03-00_ph,R138_00-03-01,R138_00-03-01_ph,R138_00-03-03,R138_00-03-03_ph,R138_00-03-02,R138_00-03-02_ph,R138_00-05-01,R138_00-05-01_ph,R138_00-05-00,R138_00-05-00_ph,R138_00-00-01,R138_00-00-01_ph,R138_00-02-04,R138_00-02-04_ph,R138_00-02-05,R138_00-02-05_ph,R138_00-00-00,R138_00-00-00_ph,R138_00-00-02,R138_00-00-02_ph,R138_00-00-03,R138_00-00-03_ph,R138_00-02-02,R138_00-02-02_ph,R138_00-02-03,R138_00-02-03_ph,R138_00-00-04,R138_00-00-04_ph,R138_00-02-01,R138_00-02-01_ph,R138_00-02-00,R138_00-02-00_ph,R138_00-06-00,R138_00-06-00_ph,R138_00-03-09,R138_00-03-09_ph,R138_00-03-08,R138_00-03-08_ph
2021-05-25 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,24.5,0.0,-7.0,36.0,9.0,42.0,10.5,43.0,10.75,0.0,0.0,0.0,0.0,204.0,51.0,32.0,8.0,20.0,5.0,123.0,30.75,201.0,50.25,201.0,50.25,71.0,17.75,74.0,18.5,174.0,43.5,110.0,27.5,155.0,38.75,32.0,8.0,,,,
2021-05-25 16:00:00,135.0,33.75,148.0,37.0,83.0,20.75,154.0,38.5,94.0,23.5,130.0,32.5,,,,,23.0,5.75,72.0,18.0,59.0,14.75,44.0,11.0,113.0,28.25,101.0,25.25,,,125.0,31.25,,,,,0.0,0.0,1.0,0.25,23.0,5.75,115.0,28.75,165.0,41.25,196.0,49.0,0.0,0.0,0.0,0.0,96.0,24.0,142.0,35.5,87.0,21.75,90.0,22.5,208.0,52.0,80.0,20.0,23.0,5.75,97.0,24.25,103.0,25.75,126.0,31.5,107.0,26.75,97.0,24.25,90.0,22.5,37.0,9.25,53.0,13.25,75.0,18.75,,,4.0,1.0,86.0,21.5,59.0,14.75,94.0,23.5,52.0,13.0,171.0,42.75,,,,,,,,,,,,,,,,,15.0,3.75,197.0,49.25,103.0,25.75,120.0,30.0,29.0,7.25,42.0,10.5,56.0,14.0,51.0,12.75,33.0,8.25,6.0,1.5,42.0,10.5,54.0,13.5,40.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,53.0,0.0,-18.0,59.0,14.75,103.0,25.75,75.0,18.75,0.0,0.0,0.0,0.0,244.0,61.0,86.0,21.5,57.0,14.25,166.0,41.5,237.0,59.25,186.0,46.5,141.0,35.25,92.0,23.0,227.0,56.75,196.0,49.0,251.0,62.75,89.0,22.25,,,,
2021-05-25 20:00:00,166.0,41.5,202.0,50.5,136.0,34.0,225.0,56.25,165.0,41.25,195.0,48.75,,,,,19.0,4.75,62.0,15.5,50.0,12.5,68.0,17.0,163.0,40.75,99.0,24.75,,,142.0,35.5,,,,,0.0,0.0,0.0,0.0,63.0,15.75,271.0,67.75,400.0,100.0,294.0,73.5,0.0,0.0,0.0,0.0,133.0,33.25,222.0,55.5,116.0,29.0,113.0,28.25,284.0,71.0,93.0,23.25,29.0,7.25,131.0,32.75,90.0,22.5,123.0,30.75,125.0,31.25,101.0,25.25,114.0,28.5,42.0,10.5,78.0,19.5,101.0,25.25,,,22.0,5.5,109.0,27.25,51.0,12.75,90.0,22.5,52.0,13.0,202.0,50.5,,,,,,,,,,,,,,,,,31.0,7.75,335.0,83.75,171.0,42.75,254.0,63.5,40.0,10.0,64.0,16.0,80.0,20.0,61.0,15.25,43.0,10.75,10.0,2.5,60.0,15.0,51.0,12.75,44.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,31.75,0.0,-9.75,30.0,7.5,70.0,17.5,51.0,12.75,0.0,0.0,0.0,0.0,211.0,52.75,40.0,10.0,44.0,11.0,159.0,39.75,166.0,41.5,181.0,45.25,83.0,20.75,77.0,19.25,184.0,46.0,108.0,27.0,145.0,36.25,37.0,9.25,,,,
2021-05-26 00:00:00,61.0,15.25,48.0,12.0,50.0,12.5,91.0,22.75,46.0,11.5,66.0,16.5,,,,,12.0,3.0,41.0,10.25,16.0,4.0,12.0,3.0,63.0,15.75,26.0,6.5,,,49.0,12.25,,,,,0.0,0.0,0.0,0.0,10.0,2.5,50.0,12.5,98.0,24.5,117.0,29.25,0.0,0.0,0.0,0.0,56.0,14.0,77.0,19.25,46.0,11.5,43.0,10.75,95.0,23.75,39.0,9.75,13.0,3.25,48.0,12.0,36.0,9.0,46.0,11.5,47.0,11.75,61.0,15.25,60.0,15.0,6.0,1.5,24.0,6.0,33.0,8.25,,,8.0,2.0,44.0,11.0,18.0,4.5,36.0,9.0,10.0,2.5,66.0,16.5,,,,,,,,,,,,,,,,,3.0,0.75,68.0,17.0,37.0,9.25,57.0,14.25,14.0,3.5,21.0,5.25,39.0,9.75,23.0,5.75,18.0,4.5,4.0,1.0,28.0,7.0,29.0,7.25,14.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,7.5,0.0,-2.0,9.0,2.25,17.0,4.25,11.0,2.75,0.0,0.0,0.0,0.0,54.0,13.5,5.0,1.25,6.0,1.5,49.0,12.25,55.0,13.75,39.0,9.75,30.0,7.5,13.0,3.25,29.0,7.25,42.0,10.5,50.0,12.5,10.0,2.5,,,,
2021-05-26 04:00:00,4.0,1.0,4.0,1.0,4.0,1.0,5.0,1.25,0.0,0.0,4.0,1.0,,,,,6.0,1.5,4.0,1.0,2.0,0.5,3.0,0.75,2.0,0.5,1.0,0.25,,,3.0,0.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.75,3.0,0.75,11.0,2.75,0.0,0.0,0.0,0.0,17.0,4.25,33.0,8.25,6.0,1.5,11.0,2.75,18.0,4.5,22.0,5.5,2.0,0.5,18.0,4.5,14.0,3.5,7.0,1.75,6.0,1.5,12.0,3.0,12.0,3.0,0.0,0.0,4.0,1.0,7.0,1.75,,,3.0,0.75,6.0,1.5,2.0,0.5,2.0,0.5,6.0,1.5,9.0,2.25,,,,,,,,,,,,,,,,,2.0,0.5,18.0,4.5,3.0,0.75,9.0,2.25,1.0,0.25,4.0,1.0,7.0,1.75,9.0,2.25,8.0,2.0,1.0,0.25,9.0,2.25,13.0,3.25,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,-4.25,10.0,2.5,8.0,2.0,7.0,1.75,0.0,0.0,0.0,0.0,42.0,10.5,13.0,3.25,9.0,2.25,37.0,9.25,46.0,11.5,45.0,11.25,25.0,6.25,21.0,5.25,33.0,8.25,33.0,8.25,53.0,13.25,2.0,0.5,,,,
2021-05-26 08:00:00,109.0,27.25,83.0,20.75,88.0,22.0,158.0,39.5,119.0,29.75,123.0,30.75,,,,,41.0,10.25,131.0,32.75,64.0,16.0,66.0,16.5,123.0,30.75,105.0,26.25,,,129.0,32.25,,,,,0.0,0.0,1.0,0.25,1.0,0.25,10.0,2.5,11.0,2.75,16.0,4.0,0.0,0.0,0.0,0.0,17.0,4.25,34.0,8.5,15.0,3.75,12.0,3.0,36.0,9.0,26.0,6.5,3.0,0.75,50.0,12.5,59.0,14.75,218.0,54.5,253.0,63.25,205.0,51.25,229.0,57.25,104.0,26.0,168.0,42.0,229.0,57.25,,,9.0,2.25,20.0,5.0,8.0,2.0,4.0,1.0,3.0,0.75,16.0,4.0,,,,,,,,,,,,,,,,,2.0,0.5,23.0,5.75,19.0,4.75,24.0,6.0,36.0,9.0,55.0,13.75,107.0,26.75,92.0,23.0,31.0,7.75,1.0,0.25,79.0,19.75,107.0,26.75,38.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,38.5,0.0,-39.75,115.0,28.75,89.0,22.25,113.0,28.25,0.0,0.0,0.0,0.0,460.0,115.0,196.0,49.0,145.0,36.25,432.0,108.0,517.0,129.25,427.0,106.75,293.0,73.25,262.0,65.5,373.0,93.25,334.0,83.5,461.0,115.25,20.0,5.0,,,,
2021-05-26 12:00:00,151.0,37.75,174.0,43.5,103.0,25.75,207.0,51.75,150.0,37.5,197.0,49.25,,,,,41.0,10.25,119.0,29.75,61.0,15.25,67.0,16.75,162.0,40.5,89.0,22.25,,,147.0,36.75,,,,,0.0,0.0,0.0,0.0,12.0,3.0,74.0,18.5,48.0,12.0,99.0,24.75,0.0,0.0,0.0,0.0,52.0,13.0,64.0,16.0,33.0,8.25,60.0,15.0,112.0,28.0,33.0,8.25,9.0,2.25,62.0,15.5,105.0,26.25,236.0,59.0,272.0,68.0,233.0,58.25,233.0,58.25,101.0,25.25,148.0,37.0,221.0,55.25,,,14.0,3.5,47.0,11.75,27.0,6.75,25.0,6.25,21.0,5.25,71.0,17.75,,,,,,,,,,,,,,,,,12.0,3.0,115.0,28.75,64.0,16.0,100.0,25.0,43.0,10.75,66.0,16.5,101.0,25.25,83.0,20.75,22.0,5.5,2.0,0.5,57.0,14.25,83.0,20.75,56.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,24.0,0.0,-9.25,29.0,7.25,58.0,14.5,43.0,10.75,0.0,0.0,0.0,0.0,188.0,47.0,66.0,16.5,41.0,10.25,160.0,40.0,134.0,33.5,127.0,31.75,112.0,28.0,82.0,20.5,160.0,40.0,147.0,36.75,198.0,49.5,59.0,14.75,,,,
2021-05-26 16:00:00,123.0,30.75,141.0,35.25,68.0,17.0,153.0,38.25,120.0,30.0,143.0,35.75,,,,,29.0,7.25,65.0,16.25,43.0,10.75,59.0,14.75,107.0,26.75,85.0,21.25,,,128.0,32.0,,,,,0.0,0.0,1.0,0.25,25.0,6.25,115.0,28.75,155.0,38.75,205.0,51.25,0.0,0.0,0.0,0.0,114.0,28.5,139.0,34.75,90.0,22.5,79.0,19.75,192.0,48.0,76.0,19.0,17.0,4.25,112.0,28.0,95.0,23.75,107.0,26.75,125.0,31.25,97.0,24.25,97.0,24.25,59.0,14.75,60.0,15.0,81.0,20.25,,,12.0,3.0,90.0,22.5,39.0,9.75,85.0,21.25,52.0,13.0,196.0,49.0,,,,,,,,,,,,,,,,,10.0,2.5,167.0,41.75,95.0,23.75,115.0,28.75,23.0,5.75,49.0,12.25,60.0,15.0,60.0,15.0,38.0,9.5,6.0,1.5,41.0,10.25,53.0,13.25,40.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,54.5,0.0,-16.5,63.0,15.75,90.0,22.5,68.0,17.0,0.0,0.0,0.0,0.0,233.0,58.25,67.0,16.75,53.0,13.25,242.0,60.5,225.0,56.25,210.0,52.5,140.0,35.0,106.0,26.5,220.0,55.0,177.0,44.25,275.0,68.75,75.0,18.75,,,,
2021-05-26 20:00:00,168.0,42.0,172.0,43.0,151.0,37.75,198.0,49.5,155.0,38.75,180.0,45.0,,,,,18.0,4.5,75.0,18.75,64.0,16.0,59.0,14.75,152.0,38.0,105.0,26.25,,,163.0,40.75,,,,,0.0,0.0,0.0,0.0,80.0,20.0,250.0,62.5,354.0,88.5,384.0,96.0,0.0,0.0,0.0,0.0,124.0,31.0,206.0,51.5,119.0,29.75,156.0,39.0,270.0,67.5,103.0,25.75,20.0,5.0,123.0,30.75,93.0,23.25,123.0,30.75,124.0,31.0,134.0,33.5,143.0,35.75,42.0,10.5,49.0,12.25,102.0,25.5,,,20.0,5.0,104.0,26.0,56.0,14.0,93.0,23.25,69.0,17.25,247.0,61.75,,,,,,,,,,,,,,,,,33.0,8.25,330.0,82.5,164.0,41.0,259.0,64.75,38.0,9.5,60.0,15.0,72.0,18.0,78.0,19.5,39.0,9.75,14.0,3.5,69.0,17.25,68.0,17.0,55.0,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,29.25,0.0,-7.0,27.0,6.75,56.0,14.0,56.0,14.0,0.0,0.0,0.0,0.0,176.0,44.0,53.0,13.25,44.0,11.0,165.0,41.25,200.0,50.0,156.0,39.0,101.0,25.25,54.0,13.5,173.0,43.25,106.0,26.5,170.0,42.5,34.0,8.5,,,,
