dt,N067_00-03-04,N067_00-03-04_ph,N067_00-03-05,N067_00-03-05_ph,N067_00-03-01,N067_00-03-01_ph,N067_00-03-00,N067_00-03-00_ph,N067_00-03-02,N067_00-03-02_ph,N067_00-03-03,N067_00-03-03_ph,N067_00-05-03,N067_00-05-03_ph,N067_00-05-02,N067_00-05-02_ph,N067_00-05-00,N067_00-05-00_ph,N067_00-05-01,N067_00-05-01_ph,N067_00-00-00,N067_00-00-00_ph,N067_00-00-01,N067_00-00-01_ph,N067_00-00-03,N067_00-00-03_ph,N067_00-00-02,N067_00-00-02_ph,N067_00-00-05,N067_00-00-05_ph,N067_00-00-04,N067_00-00-04_ph,N067_00-06-02,N067_00-06-02_ph,N067_00-06-03,N067_00-06-03_ph,N067_00-06-01,N067_00-06-01_ph,N067_00-06-00,N067_00-06-00_ph,N068_03-06-00,N068_03-06-00_ph,N068_03-00-02,N068_03-00-02_ph,N068_03-00-00,N068_03-00-00_ph,N068_03-00-01,N068_03-00-01_ph,N070_04-05-01,N070_04-05-01_ph,N070_04-05-00,N070_04-05-00_ph,N070_04-00-01,N070_04-00-01_ph,N070_04-00-00,N070_04-00-00_ph,N070_04-00-02,N070_04-00-02_ph,N070_04-00-03,N070_04-00-03_ph,N070_04-00-04,N070_04-00-04_ph,N072_05-00-01,N072_05-00-01_ph,N072_05-00-00,N072_05-00-00_ph,N072_05-00-02,N072_05-00-02_ph,N072_05-00-03,N072_05-00-03_ph,N072_05-03-00,N072_05-03-00_ph,N072_05-03-01,N072_05-03-01_ph,N072_05-03-03,N072_05-03-03_ph,N072_05-03-02,N072_05-03-02_ph,N072_05-03-06,N072_05-03-06_ph,N072_05-03-05,N072_05-03-05_ph,N072_05-03-04,N072_05-03-04_ph,N071_00-06-01,N071_00-06-01_ph,N071_00-06-00,N071_00-06-00_ph,N071_00-00-00,N071_00-00-00_ph,N071_00-00-01,N071_00-00-01_ph,N071_00-00-03,N071_00-00-03_ph,N071_00-00-02,N071_00-00-02_ph,N071_00-00-04,N071_00-00-04_ph,N071_00-05-00,N071_00-05-00_ph,N071_00-05-01,N071_00-05-01_ph,N071_00-03-04,N071_00-03-04_ph,N071_00-03-05,N071_00-03-05_ph,N071_00-03-01,N071_00-03-01_ph,N071_00-03-00,N071_00-03-00_ph,N071_00-03-02,N071_00-03-02_ph,N071_00-03-03,N071_00-03-03_ph,N069_01-06-00,N069_01-06-00_ph,N069_01-00-02,N069_01-00-02_ph,N069_01-00-00,N069_01-00-00_ph,N069_01-00-01,N069_01-00-01_ph,N073_02-00-07,N073_02-00-07_ph,N073_02-00-06,N073_02-00-06_ph,N073_02-00-04,N073_02-00-04_ph,N073_02-00-05,N073_02-00-05_ph,N073_02-00-01,N073_02-00-01_ph,N073_02-00-00,N073_02-00-00_ph,N073_02-00-02,N073_02-00-02_ph,N073_02-00-03,N073_02-00-03_ph,N073_02-00-08,N073_02-00-08_ph,R138_00-03-06,R138_00-03-06_ph,R138_00-03-07,R138_00-03-07_ph,R138_00-03-05,R138_00-03-05_ph,R138_00-03-04,R138_00-03-04_ph,R138_00-03-00,R138_00-03-00_ph,R138_00-03-01,R138_00-03-01_ph,R138_00-03-03,R138_00-03-03_ph,R138_00-03-02,R138_00-03-02_ph,R138_00-05-01,R138_00-05-01_ph,R138_00-05-00,R138_00-05-00_ph,R138_00-00-01,R138_00-00-01_ph,R138_00-02-04,R138_00-02-04_ph,R138_00-02-05,R138_00-02-05_ph,R138_00-00-00,R138_00-00-00_ph,R138_00-00-02,R138_00-00-02_ph,R138_00-00-03,R138_00-00-03_ph,R138_00-02-02,R138_00-02-02_ph,R138_00-02-03,R138_00-02-03_ph,R138_00-00-04,R138_00-00-04_ph,R138_00-02-01,R138_00-02-01_ph,R138_00-02-00,R138_00-02-00_ph,R138_00-06-00,R138_00-06-00_ph,R138_00-03-09,R138_00-03-09_ph,R138_00-03-08,R138_00-03-08_ph
2021-05-24 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,50.25,0.0,-10.25,45.0,11.25,98.0,24.5,56.0,14.0,0.0,0.0,0.0,0.0,220.0,55.0,78.0,19.5,59.0,14.75,204.0,51.0,216.0,54.0,194.0,48.5,136.0,34.0,114.0,28.5,225.0,56.25,155.0,38.75,245.0,61.25,83.0,20.75,,,,
2021-05-24 20:00:00,153.0,38.25,187.0,46.75,126.0,31.5,195.0,48.75,156.0,39.0,195.0,48.75,,,,,20.0,5.0,67.0,16.75,53.0,13.25,75.0,18.75,145.0,36.25,110.0,27.5,,,154.0,38.5,,,,,0.0,0.0,2.0,0.5,70.0,17.5,242.0,60.5,309.0,77.25,388.0,97.0,0.0,0.0,0.0,0.0,130.0,32.5,186.0,46.5,100.0,25.0,109.0,27.25,243.0,60.75,98.0,24.5,24.0,6.0,142.0,35.5,91.0,22.75,93.0,23.25,128.0,32.0,118.0,29.5,124.0,31.0,43.0,10.75,67.0,16.75,104.0,26.0,,,21.0,5.25,118.0,29.5,51.0,12.75,77.0,19.25,65.0,16.25,189.0,47.25,,,,,,,,,,,,,,,,,29.0,7.25,303.0,75.75,176.0,44.0,207.0,51.75,31.0,7.75,53.0,13.25,73.0,18.25,64.0,16.0,44.0,11.0,12.0,3.0,73.0,18.25,79.0,19.75,45.0,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,32.0,0.0,-7.75,34.0,8.5,64.0,16.0,35.0,8.75,0.0,0.0,0.0,0.0,205.0,51.25,46.0,11.5,36.0,9.0,173.0,43.25,209.0,52.25,142.0,35.5,76.0,19.0,65.0,16.25,183.0,45.75,104.0,26.0,171.0,42.75,33.0,8.25,,,,
2021-05-25 00:00:00,62.0,15.5,70.0,17.5,37.0,9.25,99.0,24.75,46.0,11.5,71.0,17.75,,,,,27.0,6.75,54.0,13.5,25.0,6.25,29.0,7.25,62.0,15.5,31.0,7.75,,,60.0,15.0,,,,,0.0,0.0,0.0,0.0,15.0,3.75,73.0,18.25,56.0,14.0,79.0,19.75,0.0,0.0,0.0,0.0,44.0,11.0,77.0,19.25,33.0,8.25,27.0,6.75,81.0,20.25,42.0,10.5,4.0,1.0,56.0,14.0,38.0,9.5,49.0,12.25,43.0,10.75,46.0,11.5,71.0,17.75,11.0,2.75,21.0,5.25,33.0,8.25,,,7.0,1.75,42.0,10.5,12.0,3.0,26.0,6.5,18.0,4.5,50.0,12.5,,,,,,,,,,,,,,,,,5.0,1.25,68.0,17.0,26.0,6.5,61.0,15.25,16.0,4.0,17.0,4.25,33.0,8.25,29.0,7.25,23.0,5.75,1.0,0.25,23.0,5.75,29.0,7.25,13.0,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,6.5,0.0,-1.75,13.0,3.25,13.0,3.25,13.0,3.25,0.0,0.0,0.0,0.0,54.0,13.5,10.0,2.5,12.0,3.0,42.0,10.5,43.0,10.75,32.0,8.0,17.0,4.25,19.0,4.75,32.0,8.0,39.0,9.75,35.0,8.75,13.0,3.25,,,,
2021-05-25 04:00:00,6.0,1.5,5.0,1.25,1.0,0.25,3.0,0.75,1.0,0.25,8.0,2.0,,,,,3.0,0.75,10.0,2.5,1.0,0.25,0.0,0.0,3.0,0.75,1.0,0.25,,,2.0,0.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,1.5,0.0,0.0,0.0,0.0,11.0,2.75,26.0,6.5,8.0,2.0,4.0,1.0,18.0,4.5,19.0,4.75,6.0,1.5,20.0,5.0,10.0,2.5,8.0,2.0,7.0,1.75,13.0,3.25,11.0,2.75,4.0,1.0,0.0,0.0,5.0,1.25,,,2.0,0.5,8.0,2.0,5.0,1.25,6.0,1.5,1.0,0.25,7.0,1.75,,,,,,,,,,,,,,,,,,,8.0,2.0,,,4.0,1.0,5.0,1.25,5.0,1.25,5.0,1.25,4.0,1.0,5.0,1.25,0.0,0.0,10.0,2.5,8.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.5,0.0,-2.5,6.0,1.5,8.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,36.0,9.0,16.0,4.0,8.0,2.0,33.0,8.25,55.0,13.75,29.0,7.25,18.0,4.5,18.0,4.5,27.0,6.75,35.0,8.75,48.0,12.0,1.0,0.25,,,,
2021-05-25 08:00:00,111.0,27.75,97.0,24.25,48.0,12.0,167.0,41.75,165.0,41.25,124.0,31.0,,,,,45.0,11.25,111.0,27.75,80.0,20.0,66.0,16.5,149.0,37.25,107.0,26.75,,,138.0,34.5,,,,,0.0,0.0,0.0,0.0,2.0,0.5,17.0,4.25,14.0,3.5,17.0,4.25,0.0,0.0,0.0,0.0,20.0,5.0,26.0,6.5,15.0,3.75,21.0,5.25,35.0,8.75,30.0,7.5,2.0,0.5,42.0,10.5,62.0,15.5,269.0,67.25,265.0,66.25,241.0,60.25,252.0,63.0,110.0,27.5,155.0,38.75,227.0,56.75,,,5.0,1.25,17.0,4.25,5.0,1.25,6.0,1.5,4.0,1.0,28.0,7.0,,,,,,,,,,,,,,,,,1.0,0.125,25.0,6.25,18.0,2.25,23.0,5.75,26.0,6.5,59.0,14.75,110.0,27.5,89.0,22.25,36.0,9.0,2.0,0.5,82.0,20.5,102.0,25.5,34.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,35.0,0.0,-36.0,119.0,29.75,101.0,25.25,98.0,24.5,0.0,0.0,0.0,0.0,535.0,133.75,181.0,45.25,148.0,37.0,418.0,104.5,494.0,123.5,435.0,108.75,311.0,77.75,229.0,57.25,384.0,96.0,342.0,85.5,424.0,106.0,13.0,3.25,,,,
2021-05-25 12:00:00,131.0,32.75,192.0,48.0,100.0,25.0,193.0,48.25,119.0,29.75,192.0,48.0,,,,,30.0,7.5,105.0,26.25,53.0,13.25,73.0,18.25,147.0,36.75,95.0,23.75,,,168.0,42.0,,,,,0.0,0.0,0.0,0.0,8.0,2.0,76.0,19.0,64.0,16.0,106.0,26.5,0.0,0.0,1.0,0.25,51.0,12.75,79.0,19.75,34.0,8.5,40.0,10.0,91.0,22.75,33.0,8.25,7.0,1.75,71.0,17.75,103.0,25.75,223.0,55.75,212.0,53.0,252.0,63.0,205.0,51.25,92.0,23.0,161.0,40.25,188.0,47.0,,,7.0,1.75,64.0,16.0,31.0,7.75,31.0,7.75,22.0,5.5,77.0,19.25,,,,,,,,,,,,,,,,,6.0,1.5,121.0,30.25,80.0,20.0,86.0,21.5,44.0,11.0,53.0,13.25,97.0,24.25,69.0,17.25,25.0,6.25,3.0,0.75,58.0,14.5,77.0,19.25,41.0,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
